ref,name,wiki_title
ireland,Innes Ireland,Innes_Ireland
laffite,Jacques Laffite,Jacques_Laffite
behra,Jean Behra,Jean_Behra
musso,Luigi Musso,Luigi_Musso
trintignant,Maurice Trintignant,Maurice_Trintignant
alboreto,Michele Alboreto,Michele_Alboreto
depailler,Patrick Depailler,Patrick_Depailler
tambay,Patrick Tambay,Patrick_Tambay
ralf_schumacher,Ralf Schumacher,Ralf_Schumacher
salvadori,Roy Salvadori,Roy_Salvadori
fischer,Rudi Fischer,Rudi_Fischer
boutsen,Thierry Boutsen,Thierry_Boutsen
brooks,Tony Brooks,Tony_Brooks
